Analog Input 12512,Object name,0454_AHU02.SFVFD:RUN TIME,,
Analog Input 12512,Present value,7172,,
Analog Input 12512,Units,,,
Analog Input 12513,Object name,0454_AHU02.SFVFD:DC BUS VOLT,,
Analog Input 12513,Present value,641,,
Analog Input 12513,Units,volts,,
Analog Input 12514,Object name,0454_AHU02.SFVFD:AC OUT VOLT,,
Analog Input 12514,Present value,278.19998,,
Analog Input 12514,Units,volts,,
Analog Input 12515,Object name,0454_AHU02.SFVFD:PAR N9.01,,
Analog Input 12515,Present value,24,,
Analog Input 12515,Units,,,
Analog Input 12516,Object name,0454_AHU02.SFVFD:RUN TIMEX10K,,
Analog Input 12516,Present value,1,,
Analog Input 12516,Units,megavolt amperes,,
Analog Input 12517,Object name,0454_AHU02.SFVFD:FAULT CODE,,
Analog Input 12517,Present value,0,,
Analog Input 12517,Units,,,
Analog Input 12562,Object name,0454_AHU02.SFVFD:PID FEEDBACK,,
Analog Input 12562,Present value,0,,
Analog Input 12562,Units,percent,,
Analog Input 12566,Object name,0454_AHU02.SFVFD:LST FLT CODE,,
Analog Input 12566,Present value,8,,
Analog Input 12566,Units,,,
Analog Input 12567,Object name,0454_AHU02.SFVFD:FREF.FLT,,
Analog Input 12567,Present value,29.349998,,
Analog Input 12567,Units,hertz,,
Analog Input 12568,Object name,0454_AHU02.SFVFD:OUT FREQ.FLT,,
Analog Input 12568,Present value,19.859999,,
Analog Input 12568,Units,hertz,,
Analog Input 12569,Object name,0454_AHU02.SFVFD:OUT CUR.FLT,,
Analog Input 12569,Present value,2.6999998,,
Analog Input 12569,Units,,,
Analog Input 12571,Object name,0454_AHU02.SFVFD:RD PARAM DAT,,
Analog Input 12571,Present value,0,,
Analog Input 12571,Units,,,
Analog Input 12575,Object name,0454_AHU02.SFVFD:OUT VOLT.FLT,,
Analog Input 12575,Present value,162.79999,,
Analog Input 12575,Units,volts,,
Analog Input 12576,Object name,0454_AHU02.SFVFD:DC BUS.FLT,,
Analog Input 12576,Present value,815,,
Analog Input 12576,Units,volts,,
Analog Input 12577,Object name,0454_AHU02.SFVFD:OUT PWR.FLT,,
Analog Input 12577,Present value,6551.8,,
Analog Input 12577,Units,kilowatts,,
Analog Input 12579,Object name,0454_AHU02.SFVFD:PID DEVIATE,,
Analog Input 12579,Present value,0,,
Analog Input 12579,Units,percent,,
Analog Input 12587,Object name,0454_AHU02.SFVFD:PID OUT CAP,,
Analog Input 12587,Present value,0,,
Analog Input 12587,Units,percent,,
Analog Input 12588,Object name,0454_AHU02.SFVFD:PID REF,,
Analog Input 12588,Present value,0,,
Analog Input 12588,Units,percent,,
Analog Input 12589,Object name,0454_AHU02.SFVFD:COMM ERR CD,,
Analog Input 12589,Present value,32,,
Analog Input 12589,Units,,,
Analog Input 12599,Object name,0454_AHU02.SFVFD:ERROR STATUS,,
Analog Input 12599,Present value,0,,
Analog Input 12599,Units,,,
Analog Input 12603,Object name,0454_AHU11.SFVFD:FREQ OUTPUT,,
Analog Input 12603,Present value,41.129997,,
Analog Input 12603,Units,hertz,,
Analog Input 12604,Object name,0454_AHU11.SFVFD:PCT OUTPUT,,
Analog Input 12604,Present value,68.549995,,
Analog Input 12604,Units,percent,,
Analog Input 12605,Object name,0454_AHU11.SFVFD:SPEED,,
Analog Input 12605,Present value,1234,,
Analog Input 12605,Units,revolutions per minute,,
Analog Input 12606,Object name,0454_AHU11.SFVFD:CURRENT,,
Analog Input 12606,Present value,9.5,,
Analog Input 12606,Units,,,
Analog Input 12607,Object name,0454_AHU11.SFVFD:TORQUE,,
Analog Input 12607,Present value,33.8,,
Analog Input 12607,Units,percent,,
Analog Input 12608,Object name,0454_AHU11.SFVFD:POWER,,
